Category,Gbl Prev 12Mo GSV $,Gbl Prev 12Mo Qty,Gbl Prev 12Mo Margin ($),Material,Material_base
CDL DRILLING & FASTENING,888785529.0,6207303.0,490502617.0,515,170
CDL COMBO KITS,799626764.0,2987241.0,368745517.0,288,230
BATTERIES & CHARGERS/EXPANSION,669883236.0,7580917.0,376614260.0,302,162
CONSTRUCTION SAWS,570557268.0,3190110.0,257228841.0,340,134
HARDLINES,559167596.0,20124223.0,268048523.0,3060,2430
CDL SAWS,416250797.0,2874693.0,218045568.0,189,36
CORDLESS OUTDOOR,408246306.0,4015178.0,171773493.0,318,169
SCREWDRIVERS & PLIERS,399060300.0,34507050.0,202969656.0,1632,1201
PORTABLE STORAGE,285758441.0,14717237.0,114824765.0,637,363
TAPES & MEASURING TOOLS,261731152.0,35211393.0,130891914.0,492,242
LINEAR EDGE,240053822.0,30461063.0,146162967.0,1020,961
GRINDING,233119354.0,3817452.0,104121635.0,431,188
FASTENING TOOLS,230141871.0,13586690.0,124542283.0,415,282
ROTARY HAMMERS,182866447.0,989672.0,97753760.0,290,89
CORDLESS DRILLS,180256672.0,4191720.0,80150372.0,180,95
FASTENING,177889568.0,34775743.0,80933315.0,737,664
E. TOOLS,170570553.0,2574345.0,89936950.0,272,174
CORDLESS COMBO KITS,167023717.0,1685176.0,68158800.0,153,118
CORDLESS HOME PRODUCTS,166405911.0,4363532.0,76333341.0,267,165
FASTENING FASTENERS,156673315.0,16216417.0,77435022.0,624,521
PORTABLE WOODWORKING,145696426.0,2303939.0,72864009.0,201,115
CORDLESS N&S,140480146.0,2523723.0,66300314.0,92,42
FASTENING COMPRESSORS,138812652.0,1517432.0,47628603.0,57,43
CORDED OUTDOOR,133971578.0,3001077.0,57779621.0,278,175
AUTOMOTIVE SPECIALTY,117868530.0,3926015.0,63478414.0,943,815
CDL GRINDER,113940511.0,782968.0,68110497.0,61,13
CRD DRILLING & FASTENING,101654510.0,1269131.0,49952634.0,170,73
METAL DRILLING,99177101.0,23823693.0,43674271.0,420,408
CORDED DRILLS,99034212.0,3114006.0,42857396.0,243,109
LAYOUT,96834495.0,25824167.0,52658890.0,434,222
SAW BLADES,95822715.0,8501366.0,46079781.0,310,297
ABRASIVES,93655128.0,70111501.0,42549789.0,432,410
KNIVES,93543625.0,21646686.0,48868202.0,294,158
CORDLESS DRILLING & FASTENING,88371056.0,1053296.0,39326002.0,183,107
SAWS,85854978.0,21178882.0,42003895.0,354,203
COMBO KITS,85852170.0,438451.0,22269285.0,14,10
BANDSAWS,82192073.0,28802772.0,46289583.0,696,696
DEMO & OTHER BUILDING,75715345.0,9353553.0,39995331.0,545,290
BENCH & STATIONARY,73890526.0,345939.0,32849444.0,46,35
CORDED SAWS,73735075.0,2163978.0,31745240.0,133,51
CORDED SANDERS,71434010.0,2475304.0,35274976.0,97,45
CLAMPS,67300266.0,7571935.0,32037654.0,247,203
MASONRY DRILLING,64493334.0,18308181.0,35279977.0,594,593
CORDED GRINDER,61792398.0,2468030.0,25857292.0,74,32
INDUSTRIAL METAL STORAGE,59065883.0,177046.0,27448750.0,418,213
